flare_date,flare_longitude,flare_magnitude,flare_class,cme_date,cme_speed,cme_width,peak_flux_10,peak_flux_30,peak_flux_100
2001-01-28 15:40:00,59.0,1.5000000000000002e-05,M1.5,2001-01-28 16:40:00,916.0,360.0,36.73,4.5,0.45
2001-03-25 16:25:00,-25.0,9e-06,C9,2001-03-25 17:25:00,677.0,360.0,5.96,,
2001-03-29 09:57:00,19.0,0.00017,X1.7,2001-03-29 10:57:00,942.0,360.0,26.65,3.17,
2001-04-02 10:58:00,62.0,0.0001,X1,2001-04-02 11:58:00,992.0,50.0,832.63,128.45,2.18
2001-04-02 21:32:00,82.0,0.002,X20,2001-04-02 22:32:00,2505.0,100.0,832.63,128.45,2.18
2001-04-09 15:20:00,4.0,7.900000000000001e-05,M7.9,2001-04-09 16:20:00,1192.0,360.0,5.99,2.37,0.55
2001-04-10 05:06:00,9.0,0.00022999999999999998,X2.3,2001-04-10 06:06:00,2411.0,360.0,249.42,9.3,
2001-04-12 09:39:00,43.0,0.0002,X2,2001-04-12 10:39:00,1184.0,360.0,41.31,10.31,0.86
2001-04-15 13:19:00,85.0,0.00144,X14.4,2001-04-15 14:19:00,1199.0,167.0,825.07,379.93,105.45
2001-04-18 02:11:00,115.0,2.2e-06,C2.2,2001-04-18 03:11:00,2465.0,360.0,257.46,63.03,7.32
2001-04-26 11:26:00,31.0,7.000000000000001e-05,M7,2001-04-26 12:26:00,1040.0,360.0,43.12,,
,,,,2001-04-26 11:26:00,1223.0,286.0,21.71,1.61,
2001-05-20 06:00:00,89.0,6.400000000000001e-05,M6.4,2001-05-20 07:00:00,546.0,179.0,8.4,2.92,0.57
2001-06-15 16:15:00,-18.0,2.2e-06,C2.2,2001-06-15 17:15:00,1701.0,360.0,20.2,3.67,0.7
,,,,2001-06-15 16:15:00,1575.0,180.0,523.8,218.88,11.25
2001-09-15 11:04:00,49.0,1e-05,M1,2001-09-15 12:04:00,478.0,248.0,9.49,1.49,
2001-09-24 09:32:00,-23.0,0.00026000000000000003,X2.6,2001-09-24 10:32:00,2402.0,360.0,9235.54,776.03,10.56
2001-10-01 04:41:00,91.0,9.1e-05,M9.1,2001-10-01 05:41:00,1405.0,360.0,1602.2,101.93,
2001-10-09 10:46:00,-8.0,1e-05,M1,2001-10-09 11:46:00,973.0,360.0,5.01,,
2001-10-19 00:47:00,18.0,0.0001,X1,2001-10-19 01:47:00,558.0,360.0,6.17,1.81,
2001-10-19 16:13:00,29.0,0.00016,X1.6,2001-10-19 17:13:00,901.0,360.0,9.53,2.42,
2001-10-22 14:27:00,-18.0,6.7e-05,M6.7,2001-10-22 15:27:00,1336.0,360.0,20.59,4.57,0.73
2001-11-04 16:03:00,18.0,0.0001,X1,2001-11-04 17:03:00,1810.0,360.0,23895.46,4253.31,86.64
2001-11-17 04:49:00,-42.0,2.8e-05,M2.8,2001-11-17 05:49:00,1379.0,360.0,22.83,,
2001-11-22 20:18:00,67.0,3.8e-05,M3.8,2001-11-22 21:18:00,1443.0,360.0,13285.65,633.44,1.84
2001-12-11 07:58:00,-41.0,0.00028,X2.8,2001-12-11 08:58:00,891.0,121.0,2.42,,
2001-12-26 04:32:00,54.0,7.1e-05,M7.1,2001-12-26 05:32:00,1446.0,212.0,615.04,258.42,22.36
2001-12-28 20:02:00,-100.0,0.00030000000000000003,X3,2001-12-28 21:02:00,2216.0,120.0,54.9,3.44,
2001-12-30 13:42:00,43.0,3.2e-06,C3.2,2001-12-30 14:42:00,718.0,290.0,75.92,4.52,
2002-01-10 09:27:00,9.0,7e-06,C7,,,,65.11,2.71,
,,,,2002-01-10 09:27:00,1136.0,360.0,7.6,1.79,
2002-03-15 22:09:00,3.0,2.2000000000000003e-05,M2.2,2002-03-15 23:09:00,957.0,360.0,38.94,2.41,
2002-04-17 07:46:00,34.0,2.6000000000000002e-05,M2.6,2002-04-17 08:46:00,1240.0,360.0,18.58,1.67,
2002-04-21 00:43:00,84.0,0.00015000000000000001,X1.5,2002-04-21 01:43:00,2393.0,360.0,1822.47,406.24,7.59
2002-05-22 03:18:00,53.0,4.9999999999999996e-06,C5,2002-05-22 04:18:00,1557.0,120.0,574.35,7.09,
2002-07-15 19:59:00,1.0,0.00030000000000000003,X3,2002-07-15 20:59:00,1151.0,360.0,163.94,3.4,
2002-07-20 21:04:00,-90.0,0.00033,X3.3,2002-07-20 22:04:00,1941.0,360.0,21.62,2.51,
2002-08-14 01:47:00,54.0,2.3e-05,M2.3,2002-08-14 02:47:00,1309.0,133.0,19.17,1.18,
2002-08-16 11:32:00,-20.0,5.2000000000000004e-05,M5.2,2002-08-16 12:32:00,1585.0,360.0,4.54,1.07,
2002-08-22 01:47:00,62.0,5.4000000000000005e-05,M5.4,2002-08-22 02:47:00,248.0,48.0,29.6,9.85,0.92
2002-08-24 00:49:00,81.0,0.00031,X3.1,2002-08-24 01:49:00,1913.0,360.0,241.41,104.46,15.58
2002-09-05 16:18:00,-28.0,5.2e-06,C5.2,2002-09-05 17:18:00,1748.0,360.0,145.94,2.86,
2002-11-09 13:08:00,29.0,4.6e-05,M4.6,2002-11-09 14:08:00,1838.0,360.0,278.0,8.04,
2002-11-24 20:14:00,37.0,6.4e-06,C6.4,2002-11-24 21:14:00,1077.0,360.0,2.73,,
2002-12-19 21:34:00,10.0,2.7000000000000002e-05,M2.7,2002-12-19 22:34:00,1092.0,360.0,3.86,,
2003-05-28 00:17:00,17.0,0.00036,X3.6,2003-05-28 01:17:00,1366.0,360.0,86.55,2.4,0.52
2003-05-31 02:13:00,65.0,9.300000000000001e-05,M9.3,2003-05-31 03:13:00,1835.0,360.0,22.46,5.43,0.58
2003-06-17 22:27:00,-61.0,6.8e-05,M6.8,2003-06-17 23:27:00,1813.0,360.0,24.71,0.89,
2003-10-26 17:21:00,38.0,0.00012,X1.2,2003-10-26 18:21:00,1537.0,171.0,458.32,25.43,0.65
2003-10-28 09:51:00,-8.0,0.00172,X17.2,2003-10-28 10:51:00,2459.0,360.0,25849.21,3098.57,50.17
2003-11-02 17:03:00,56.0,0.0008300000000000001,X8.3,2003-11-02 18:03:00,2598.0,360.0,1445.06,287.93,20.0
2003-11-04 19:29:00,83.0,0.0028,X28,2003-11-04 20:29:00,2657.0,360.0,326.98,34.65,1.16
2003-11-20 07:35:00,8.0,9.6e-05,M9.6,2003-11-20 08:35:00,669.0,360.0,8.17,1.19,
2003-11-20 23:42:00,17.0,5.8e-05,M5.8,2003-11-21 00:42:00,494.0,52.0,16.53,1.36,
2003-12-02 09:40:00,92.0,7.2e-06,C7.2,2003-12-02 10:40:00,1393.0,150.0,104.76,2.44,
2004-04-11 03:54:00,46.0,9.6e-06,C9.6,2004-04-11 04:54:00,1645.0,314.0,45.03,1.9,
2004-07-22 07:41:00,-10.0,5.299999999999999e-06,C5.3,2004-07-22 08:41:00,700.0,151.0,5.9,1.47,
2004-07-25 14:19:00,33.0,1.1000000000000001e-05,M1.1,2004-07-25 15:19:00,1333.0,360.0,2350.25,20.16,
2004-07-31 05:16:00,89.0,8.4e-06,C8.4,2004-07-31 06:16:00,1192.0,197.0,9.12,1.91,
2004-09-12 00:04:00,-49.0,4.8e-05,M4.8,2004-09-12 01:04:00,1328.0,360.0,315.71,5.24,
2004-09-19 16:46:00,58.0,1.9e-05,M1.9,,,,56.42,6.17,2.92
2004-10-30 06:08:00,22.0,4.2000000000000004e-05,M4.2,2004-10-30 07:08:00,422.0,360.0,3.96,,
,,,,2004-10-30 06:08:00,925.0,266.0,58.3,12.1,0.73
2004-11-07 15:42:00,17.0,0.0002,X2,2004-11-07 16:42:00,1759.0,360.0,522.56,16.29,
,,,,2004-11-07 15:42:00,605.0,316.0,144.11,4.62,
2004-11-10 01:59:00,49.0,0.00025,X2.5,2004-11-10 02:59:00,3387.0,360.0,415.2,30.19,1.08
2004-12-02 23:44:00,2.0,1.5000000000000002e-05,M1.5,2004-12-03 00:44:00,1216.0,360.0,5.15,,
2005-01-15 05:54:00,-4.0,8.6e-05,M8.6,2005-01-15 06:54:00,2049.0,360.0,10.66,2.14,
2005-01-15 22:25:00,5.0,0.00026000000000000003,X2.6,2005-01-15 23:25:00,2861.0,360.0,356.2,30.63,
2005-01-17 06:59:00,25.0,0.00038,X3.8,2005-01-17 07:59:00,2094.0,360.0,4220.47,771.52,7.24
2005-01-20 06:36:00,61.0,0.00071,X7.1,2005-01-20 07:36:00,3256.0,360.0,2684.11,1405.89,480.0
2005-05-06 03:05:00,76.0,1.3000000000000001e-05,M1.3,2005-05-06 04:05:00,1120.0,109.0,5.67,,
2005-05-13 16:13:00,-11.0,8e-05,M8,2005-05-13 17:13:00,1689.0,360.0,4019.83,10.18,
2005-06-16 20:01:00,90.0,4e-05,M4,,,,43.0,13.33,1.36
2005-07-13 14:01:00,90.0,5e-05,M5,2005-07-13 15:01:00,1423.0,360.0,15.13,1.69,
2005-07-14 10:16:00,98.0,0.0001,X1,2005-07-14 11:16:00,2115.0,360.0,121.65,9.19,
,,,,2005-07-14 10:16:00,1527.0,120.0,22.71,3.35,
,,,,2005-07-14 10:16:00,1458.0,360.0,43.86,3.04,
2005-08-22 00:44:00,54.0,2.6000000000000002e-05,M2.6,2005-08-22 01:44:00,1194.0,360.0,8.99,1.41,
2005-08-22 16:46:00,65.0,5.6e-05,M5.6,2005-08-22 17:46:00,2378.0,360.0,345.68,16.18,0.97
2005-09-07 17:17:00,-77.0,0.0017000000000000001,X17,,,,1941.83,108.1,3.25
2005-09-13 19:19:00,-10.0,0.00015000000000000001,X1.5,2005-09-13 20:19:00,1866.0,360.0,276.2,8.04,
2006-07-06 08:13:00,34.0,2.5e-05,M2.5,2006-07-06 09:13:00,911.0,360.0,4.18,1.64,
2006-12-05 10:18:00,-68.0,0.0009000000000000001,X9,,,,10.29,2.68,
2006-12-06 18:29:00,-64.0,0.0006500000000000001,X6.5,,,,1901.34,229.35,6.89
2006-12-13 02:14:00,23.0,0.00034,X3.4,2006-12-13 03:14:00,1774.0,360.0,690.88,302.84,39.97
2006-12-14 21:07:00,46.0,0.00015000000000000001,X1.5,2006-12-14 22:07:00,1042.0,360.0,17.77,3.66,0.52
,,,,2010-12-14 21:07:00,221.0,21.0,7.46,,
2010-08-14 09:38:00,50.0,4.4e-06,C4.4,2010-08-14 10:38:00,1205.0,360.0,16.19,2.32,
,,,,2010-08-14 09:38:00,1471.0,184.0,5.61,,
2011-03-07 19:43:00,59.0,3.7000000000000005e-05,M3.7,2011-03-07 20:43:00,2125.0,360.0,32.91,3.71,
,,,,2011-03-07 19:43:00,1341.0,360.0,7.29,2.77,
,,,,2011-03-07 19:43:00,608.0,84.0,11.1,2.43,
,,,,2011-03-07 19:43:00,578.0,17.0,4.82,1.95,
2011-06-07 06:16:00,54.0,2.5e-05,M2.5,2011-06-07 07:16:00,1255.0,360.0,55.45,19.0,1.75
,,,,2011-06-07 06:16:00,596.0,35.0,4.52,,
2011-08-04 03:41:00,36.0,9.300000000000001e-05,M9.3,2011-08-04 04:41:00,338.0,123.0,59.0,13.56,0.85
2011-08-08 18:00:00,61.0,3.5000000000000004e-05,M3.5,2011-08-08 19:00:00,1343.0,237.0,3.88,1.43,
2011-08-09 07:48:00,69.0,0.0006900000000000001,X6.9,2011-08-09 08:48:00,1610.0,360.0,27.25,11.79,1.24
,,,,2011-08-09 07:48:00,782.0,360.0,7.66,2.99,0.63
2011-10-22 10:00:00,77.0,1e-05,M1,2011-10-22 11:00:00,1005.0,360.0,7.88,,
,,,,2011-10-22 10:00:00,991.0,360.0,3.83,1.77,
2011-11-26 06:09:00,,1.2e-06,C1.2,2011-11-26 07:09:00,933.0,360.0,48.14,2.77,
2011-12-25 18:11:00,31.0,4e-05,M4,2011-12-25 19:11:00,366.0,125.0,3.5,1.47,
